Nation,Product Id,Product Name,Category,Subcategory,Season,CUSTOMER_NATIONALITYIDS,Catalog,Color,Fabric,Fit,In Store,Origin,Sum of PRICE,Sum of PriceTot
Germany,78535747, Backpack,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 91.54,€ 230.92
Germany,77490840, Clear Stadium Tote,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 24.62,€ 73.01
Germany,57450870," 62"""" Windshaft Umbrella",Accessories,Rain Gear,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 94.50,€ 279.60
Germany,78167605, Umbrella,Accessories,Rain Gear,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 298.80,€ 933.75
Germany,78600920, Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,"","","",true,Imported,€ 78.98,€ 155.32
Germany,78535749, Backpack,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"","",Misc.,true,Imported,€ 69.00,€ 345.00
Germany,76333068, Women's Clear Crossbody Purse,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"","",Misc.,true,Imported,€ 115.84,€ 322.88
Germany,86377526, Fuzzy Dot Socks,Accessories,Footwear,Holiday,3,Clothing & Accessories,"",100% Acrylic,One Size Fits Most,true,Imported,€ 69.48,€ 221.76
Germany,74394275, Women's Plush Socks,Accessories,Footwear,Holiday,3,Clothing & Accessories,"",100% Acrylic,One Size Fits Most,true,Imported,€ 40.56,€ 137.88
Germany,77174464, No Show Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 55.32,€ 156.96
Germany,76253017, Titans Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Cotton,"",true,Imported,€ 182.40,€ 621.60
Germany,78244947, Wristlet,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,"",false,Imported,€ 34.40,€ 80.48
Germany,76697965, Sackpack,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,"",100% Polyester,"",true,Imported,€ 56.59,€ 167.71
Germany,20778142, Titans Neck Gaiter,Accessories,Cold Weather,Fall,3,Clothing & Accessories,"",100% Polyester,"",true,Imported,€ 11.78,€ 47.12
Germany,73278376, Cycling Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",50% Poly/40% Nylon/10% Lycra,"",true,Imported,€ 46.44,€ 100.56
Germany,78465057, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",52% Poly/46% Cotton/2% Spandex,"",true,Imported,€ 70.92,€ 216.18
Germany,78465060, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",52% Poly/46% Cotton/2% Spandex,"",true,Imported,€ 19.44,€ 38.88
Germany,77100938, Titans Women's No Show Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",76% Acry/21% Nylon/2% Spandx/1% Rub,"",true,Imported,€ 18.24,€ 58.44
Germany,77940163, Dress Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",76% Acry/21% Nylon/2% Spandx/1% Rub,Misc.,true,Made in USA,€ 18.20,€ 36.40
Germany,78259848, Dress Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",76% Acry/21% Nylon/2% Spandx/1% Rub,Misc.,true,Made in USA,€ 56.42,€ 225.54
Germany,97127263, Titans Face Covering,Accessories,Face Masks & Covers,Fall,3,Clothing & Accessories,"",82% Poly/18% Lycra,"",false,Made in USA,€ 12.00,€ 52.32
Germany,77931796, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,"",95% POLYESTER/3% NYLON/2% OTHER,"",true,Made in USA,€ 83.52,€ 219.12
Germany,77512436, Lapel Pin,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Antique Silver,"","",true,Imported,€ 14.76,€ 61.65
Germany,87898631, Clear Drawstring Tote,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,Black,"","",true,Imported,€ 33.36,€ 97.80
Germany,78616595, Slides,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Black,"","",true,Imported,€ 379.00,€ 1306.00
Germany,67984473," 1"""" Lapel Pin",Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Black,"","",true,Imported,€ 10.25,€ 27.68
Germany,78035787, Titans Low Cut Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Black,95% POLYESTER/3% NYLON/2% OTHER,"",true,Made in USA,€ 24.50,€ 34.30
Germany,87365813, Shower Slides,Accessories,Footwear,Fall,3,Clothing & Accessories,Black/White,"","",true,Imported,€ 83.40,€ 305.40
Germany,87366089, Speed Turf Trainer Shoes,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Black/White/Grey,"","",true,Imported,€ 113.60,€ 568.00
Germany,77026459, Tie Bar,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Brass,"","",true,Imported,€ 89.70,€ 256.10
Germany,77026461, Titans Brass Cufflinks,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Brass,"","",true,Imported,€ 58.24,€ 178.56
Germany,76238110, Lapel Pin,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Brass,"","",true,Made in USA,€ 64.20,€ 301.00
Germany,81270508,C Gold/Maroon  ULTRABOOST 1.0,Accessories,Footwear,Fall,3,Clothing & Accessories,C Gold/Maroon,"","",true,Imported,€ 169.20,€ 676.80
Germany,82228699, Women's Clear Crossbody Bag,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,Clear,"","",true,Imported,€ 36.90,€ 117.00
Germany,85774484, Fanny Pack,Accessories,Backpacks & Bags,Fall,3,Clothing & Accessories,Clear,"","",true,Made in USA,€ 50.96,€ 115.92
Germany,78244950, Bag,Accessories,Backpacks & Bags,Basic Non-Seasonal,3,Clothing & Accessories,Clear,100% PVC,"",true,Imported,€ 50.24,€ 72.32
Germany,73697670, Lapel Pin,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Gold,"","",true,Imported,€ 9.01,€ 16.72
Germany,74797356, Titans Lapelpin,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Gold,"","",true,Imported,€ 26.13,€ 121.80
Germany,76281750, Money Clip,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Gold,"","",true,Made in USA,€ 31.25,€ 93.75
Germany,78001464, Titans Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Gold,95% POLYESTER/3% NYLON/2% OTHER,"",true,Made in USA,€ 32.28,€ 85.08
Germany,78788360," Titans 42"""" Umbrella",Accessories,Rain Gear,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,"","",true,Imported,€ 50.58,€ 220.68
Germany,86241118, Clear Crossbody,Accessories,Backpacks & Bags,Fall,3,Clothing & Accessories,Maroon,100% PVC,"",true,Imported,€ 24.42,€ 62.04
Germany,84065113, Women's Crew Socks,Accessories,Footwear,Fall,3,Clothing & Accessories,Maroon,75% Acrylic/22% Str Nylon/3% Spandx,"",true,Imported,€ 49.95,€ 176.22
Germany,78035790, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,77% POLY/17% NYL/3% ELAS/2% SPANDEX,"",true,Made in USA,€ 78.08,€ 170.56
Germany,81455065, Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Maroon,98% Cotton/2% Spandex,"",true,Imported,€ 19.04,€ 38.64
Germany,86241847, Wristlet,Accessories,Backpacks & Bags,Fall,3,Clothing & Accessories,Maroon,Pleather,"",true,Imported,€ 64.60,€ 172.80
Germany,57450700," 48"""" Umbrella",Accessories,Rain Gear,Basic Non-Seasonal,3,Clothing & Accessories,Maroon/Gold,"","",true,Imported,€ 76.60,€ 140.00
Germany,78214680, Crew Socks,Accessories,Footwear,Basic Non-Seasonal,3,Clothing & Accessories,Maroon/Grey/Col Gold,88% Cotton/8% Elastic/4% Spandex,"",true,Imported,€ 81.18,€ 156.96
Germany,88554155, Socks,Accessories,Footwear,Holiday,3,Clothing & Accessories,Red/Green,100% Acrylic,One Size Fits Most,true,Imported,€ 6.96,€ 34.80
Germany,87407011,Hudson U Logo Color Infusion Charm Bangle,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Silver,"","",false,Made in USA,€ 120.84,€ 354.92
Germany,53591925,Silver  Money Clip,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Silver,"","",true,Imported,€ 119.84,€ 231.84
Germany,77861693, 3 Charm Layered Necklace,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Sterling Silver,"","",true,Made in USA,€ 876.48,€ 1904.85
Germany,77861701, Cuff Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Sterling Silver,"","",true,Made in USA,€ 714.87,€ 2736.11
Germany,77944078, Two Tone Clasp Bangle Bracelet,Accessories,Watches & Jewelry,Basic Non-Seasonal,3,Clothing & Accessories,Sterling Silver,"","",true,Made in USA,€ 656.00,€ 1617.60
